Name,AI summary,Date,Numers,Type of drink
Pre disco,,06/09/2025,3,Birra
Cena rientro,,14/09/2025,1,Birra
Dopo cena,,19/09/2025,1,Birra
Cena,,22/09/2025,1,Birra
Arrivo in salento,,26/09/2025,1,Birra
Sera Salento 1,,27/09/2025,1,Birra
Sera Salento 2,,27/09/2025,2,Shot
Cena,,01/10/2025,1,Birra
Compleanno barbeque,,02/10/2025,4,Birra
Pre serata,,03/10/2025,3,Birra
Date 1,,04/10/2025,5,Birra
Date 2,,04/10/2025,1,Granizado
Cena,,07/10/2025,1,Birra
"Dopo cena ",,08/10/2025,1,Birra
Pranzo rooftop,,13/10/2025,1,Spriss
Chiva 1,,17/10/2025,4,Vodka redbull
Serata Isa,,18/10/2025,2,Birra
Barbeque 1,,21/10/2025,2,Birra
Barbeque 2,,21/10/2025,1,Shot
Cuba prima sera,,23/10/2025,2,Shot
Cuba sera 1,,24/10/2025,2,Shot
Cuba sera 2,,24/10/2025,1,Birra
Cuba giro macchina 1,,25/10/2025,1,Cuba libre
Cuba giro macchina 2,,25/10/2025,2,Shot
Cuba disco 1,,26/10/2025,4,Shot
Cuba disco 2,,26/10/2025,5,Shot
Varadero (tutto insieme) 1,,27/10/2025,5,Birra
Catamarano 1,,28/10/2025,1,Mojito
Catamarano 2,,28/10/2025,1,Punch
Cayo day 1.1,,30/10/2025,3,Birra
Cayo day 1.2,,30/10/2025,1,Daiquiri
Cayo day 1.3,,30/10/2025,1,Mojito
Cayo day 1.4,,30/10/2025,1,Gin Tonic
Cayo day 1.5,,30/10/2025,1,Cuba libre
Cayo day 2.1,,31/10/2025,3,Piña Colada
Cayo day 2.2,,31/10/2025,1,Cuba libre
Cayo day 3.1,,01/11/2025,2,Mojito
Cayo day 3.2,,01/11/2025,1,Piña Colada
Wet,,06/11/2025,2,Granizado
Terrazza compleanno yami,,08/11/2025,1,Boulevardier
Amazonia 2.1,,14/11/2025,3,Birra
Amazonia 2.2,,14/11/2025,2,Peruviano
Amazonia 1,,13/11/2025,1,Birra
Falò giungla,,15/11/2025,4,Birra
Festa boho,,20/11/2025,2,Birra
Chiva 1,,21/11/2025,4,Birra
Chiva 2,,21/11/2025,2,Shot
Salchipapa night,,23/11/2025,2,Birra
Studio,,24/11/2025,1,Birra
Sera bar,,28/11/2025,1,Daiquiri
Post aereo porto,,27/11/2025,1,Birra
Salchipapa night,,24/11/2025,1,Birra
Alquimico,,30/11/2025,1,Paloma
Serata amici,,06/12/2025,4,Birra
Coto,,13/12/2025,1,Vodka redbull
Pubbetto,,19/12/2025,1,Birra
Cena,,20/12/2025,1,Spriss
Cena + minecraft,,21/12/2025,1,Wombo Combo
Pranzo nonni,,23/12/2025,1,Shot
Natale 1,,25/12/2025,2,Shot
Natale 2,,25/12/2025,1,Shot
Partita,,27/12/2025,1,Birra
Pub bardo,,28/12/2025,1,Birra
Sci,,30/12/2025,1,Birra
Capo 1,,31/12/2025,1,Birra
Capo 2,,31/12/2025,2,Spriss
Capo 3,,31/12/2025,1,Gin Tonic
Capo 4,,31/12/2025,1,Shot
